Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
12/19/2025,7:00PM,The Beacon,The Red Spectacles,116,None,None
12/20/2025,7:00PM,The Beacon,The Red Spectacles,116,None,None
12/17/2025,7:30PM,The Beacon,Vengeance Is Mine,118 MINUTES,None,None
12/23/2025,7:30PM,The Beacon,Ghost Stories For Christmas,100 MINUTES,None,None
12/28/2025,2:00PM,The Beacon,Stella Dallas,106,None,None
12/29/2025,4:30PM,The Beacon,Stella Dallas,106,None,None
12/24/2025,2:00PM,The Beacon,Fanny And Alexander,312 min.,None,None
12/26/2025,10:00PM,The Beacon,Tokyo Fist,87,None,None
12/28/2025,5:00PM,The Beacon,Viridiana,90,None,None
12/29/2025,7:30PM,The Beacon,Viridiana,90,None,None
12/30/2025,4:30PM,The Beacon,Viridiana,90,None,None
12/26/2025,7:00PM,The Beacon,Raging Bull,129,None,None
12/27/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
01/09/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
01/10/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
01/11/2025,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
01/11/2025,8:00PM,The Beacon,Rent The Beacon,150 min.,None,None
01/16/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
01/17/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
01/18/2025,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
01/23/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
01/24/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
01/25/2025,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
01/25/2025,8:00PM,The Beacon,Rent The Beacon,150 min.,None,None
01/30/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
01/31/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
01/31/2025,1:00PM,The Beacon,Rent The Beacon,150 min.,None,None
12/21/2025,2:00PM,The Beacon,Christmas In Connecticut,101,None,None
12/23/2025,4:30PM,The Beacon,Christmas In Connecticut,101,None,None
12/17/2025,4:30PM,The Beacon,Remember The Night,94,None,None
12/27/2025,7:00PM,The Beacon,Together,106,None,None
12/30/2025,7:30PM,The Beacon,Together,106,None,None
12/18/2025,4:30PM,The Beacon,Gremlins,106,None,None
12/31/2025,7:00PM,The Beacon,Five Minutes To Live!,120ish,None,None
12/26/2025,4:00PM,The Beacon,Fat City,97,None,None
12/22/2025,7:30PM,The Beacon,Tone Glow Presents: Distant Voices,76 MINUTES,None,None
